datetime,x,y,z
2025-01-01T00:00:00Z,0.013318,0.019402,1.001424
2025-01-01T00:00:01Z,0.016544,0.017632,1.002818
2025-01-01T00:00:02Z,0.019589,0.01476,1.004156
2025-01-01T00:00:03Z,0.022367,0.010901,1.005408
2025-01-01T00:00:04Z,0.024804,0.006209,1.006551
2025-01-01T00:00:05Z,0.026829,0.000871,1.00756
2025-01-01T00:00:06Z,0.028389,-0.004901,1.008415
2025-01-01T00:00:07Z,0.029439,-0.010876,1.009098
2025-01-01T00:00:08Z,0.02995,-0.016816,1.009596
2025-01-01T00:00:09Z,0.029908,-0.022484,1.009899
2025-01-01T00:00:10Z,0.029315,-0.027655,1.01
2025-01-01T00:00:11Z,0.028186,-0.032122,1.009897
2025-01-01T00:00:12Z,0.026553,-0.035707,1.009593
2025-01-01T00:00:13Z,0.024462,-0.038267,1.009093
2025-01-01T00:00:14Z,0.021969,-0.0397,1.008408
2025-01-01T00:00:15Z,0.019145,-0.039949,1.007551
2025-01-01T00:00:16Z,0.016068,-0.039004,1.006541
2025-01-01T00:00:17Z,0.012822,-0.036903,1.005398
2025-01-01T00:00:18Z,0.009499,-0.033729,1.004144
2025-01-01T00:00:19Z,0.006189,-0.029609,1.002806
2025-01-01T00:00:20Z,0.002984,-0.024708,1.001411
2025-01-01T00:00:21Z,-2.6e-05,-0.01922,0.999987
2025-01-01T00:00:22Z,-0.002758,-0.013365,0.998564
2025-01-01T00:00:23Z,-0.005136,-0.007375,0.997169
2025-01-01T00:00:24Z,-0.007095,-0.00149,0.995833
2025-01-01T00:00:25Z,-0.00858,0.004056,0.994581
2025-01-01T00:00:26Z,-0.009551,0.009041,0.99344
2025-01-01T00:00:27Z,-0.009979,0.013267,0.992432
2025-01-01T00:00:28Z,-0.009854,0.016566,0.991578
2025-01-01T00:00:29Z,-0.009178,0.018805,0.990897
2025-01-01T00:00:30Z,-0.007972,0.019896,0.9904
2025-01-01T00:00:31Z,-0.006267,0.019796,0.990099
2025-01-01T00:00:32Z,-0.004111,0.018507,0.99
2025-01-01T00:00:33Z,-0.001564,0.016082,0.990105
2025-01-01T00:00:34Z,0.001303,0.012617,0.990411
2025-01-01T00:00:35Z,0.004412,0.008251,0.990912
2025-01-01T00:00:36Z,0.007675,0.003156,0.991599
2025-01-01T00:00:37Z,0.011003,-0.002462,0.992457
2025-01-01T00:00:38Z,0.014302,-0.008381,0.993468
2025-01-01T00:00:39Z,0.017483,-0.014365,0.994613
2025-01-01T00:00:40Z,0.020456,-0.020175,0.995867
2025-01-01T00:00:41Z,0.02314,-0.025579,0.997206
2025-01-01T00:00:42Z,0.025459,-0.030362,0.998601
2025-01-01T00:00:43Z,0.02735,-0.034333,1.000025
2025-01-01T00:00:44Z,0.02876,-0.037334,1.001449
2025-01-01T00:00:45Z,0.02965,-0.039245,1.002843
2025-01-01T00:00:46Z,0.029996,-0.039991,1.004179
2025-01-01T00:00:47Z,0.029787,-0.039541,1.00543
2025-01-01T00:00:48Z,0.02903,-0.037913,1.00657
2025-01-01T00:00:49Z,0.027746,-0.035172,1.007576
2025-01-01T00:00:50Z,0.02597,-0.031428,1.008428
2025-01-01T00:00:51Z,0.023751,-0.02683,1.009109
2025-01-01T00:00:52Z,0.021151,-0.02156,1.009603
2025-01-01T00:00:53Z,0.018242,-0.01583,1.009903
2025-01-01T00:00:54Z,0.015105,-0.009867,1.01
2025-01-01T00:00:55Z,0.011826,-0.00391,1.009894
2025-01-01T00:00:56Z,0.008497,0.001805,1.009586
2025-01-01T00:00:57Z,0.005209,0.007049,1.009082
2025-01-01T00:00:58Z,0.002054,0.011613,1.008394
2025-01-01T00:00:59Z,-0.00088,0.015316,1.007535
2025-01-01T00:01:00Z,-0.003514,0.018009,1.006522
2025-01-01T00:01:01Z,-0.005772,0.019586,1.005376
2025-01-01T00:01:02Z,-0.007594,0.019983,1.004121
2025-01-01T00:01:03Z,-0.008928,0.019185,1.002782
2025-01-01T00:01:04Z,-0.009737,0.017223,1.001386
2025-01-01T00:01:05Z,-0.01,0.014177,0.999962
2025-01-01T00:01:06Z,-0.009708,0.010166,0.998539
2025-01-01T00:01:07Z,-0.00887,0.005351,0.997145
2025-01-01T00:01:08Z,-0.007509,-7.6e-05,0.99581
2025-01-01T00:01:09Z,-0.005663,-0.005898,0.99456
2025-01-01T00:01:10Z,-0.003383,-0.011884,0.993421
2025-01-01T00:01:11Z,-0.000731,-0.017795,0.992415
2025-01-01T00:01:12Z,0.002217,-0.023395,0.991565
2025-01-01T00:01:13Z,0.005381,-0.028461,0.990886
2025-01-01T00:01:14Z,0.008674,-0.032791,0.990393
2025-01-01T00:01:15Z,0.012003,-0.036212,0.990096
2025-01-01T00:01:16Z,0.015276,-0.038589,0.99
2025-01-01T00:01:17Z,0.018403,-0.039825,0.990108
2025-01-01T00:01:18Z,0.021298,-0.039873,0.990418
2025-01-01T00:01:19Z,0.023879,-0.03873,0.990923
2025-01-01T00:01:20Z,0.026076,-0.036441,0.991613
2025-01-01T00:01:21Z,0.027827,-0.033098,0.992473
2025-01-01T00:01:22Z,0.029084,-0.028835,0.993488
2025-01-01T00:01:23Z,0.029812,-0.02382,0.994634
2025-01-01T00:01:24Z,0.029991,-0.018255,0.99589
2025-01-01T00:01:25Z,0.029616,-0.01236,0.99723
2025-01-01T00:01:26Z,0.028698,-0.006372,0.998626
2025-01-01T00:01:27Z,0.027261,-0.000528,1.000051
2025-01-01T00:01:28Z,0.025346,0.004939,1.001474
2025-01-01T00:01:29Z,0.023006,0.00981,1.002867
2025-01-01T00:01:30Z,0.020305,0.013891,1.004202
2025-01-01T00:01:31Z,0.017319,0.017019,1.005451
2025-01-01T00:01:32Z,0.014129,0.019071,1.006589
2025-01-01T00:01:33Z,0.010826,0.019963,1.007593
2025-01-01T00:01:34Z,0.007499,0.019661,1.008442
2025-01-01T00:01:35Z,0.004242,0.018177,1.009119
2025-01-01T00:01:36Z,0.001144,0.015569,1.00961
2025-01-01T00:01:37Z,-0.001708,0.011942,1.009906
2025-01-01T00:01:38Z,-0.004236,0.00744,1.01
2025-01-01T00:01:39Z,-0.006369,0.002242,1.00989
2025-01-01T00:01:40Z,-0.008049,-0.003443,1.009578
2025-01-01T00:01:41Z,-0.009228,-0.009389,1.009072
2025-01-01T00:01:42Z,-0.009874,-0.01536,1.00838
2025-01-01T00:01:43Z,-0.00997,-0.021118,1.007518
2025-01-01T00:01:44Z,-0.009513,-0.026432,1.006503
2025-01-01T00:01:45Z,-0.008514,-0.031091,1.005355
2025-01-01T00:01:46Z,-0.007002,-0.034909,1.004098
2025-01-01T00:01:47Z,-0.00502,-0.037734,1.002758
2025-01-01T00:01:48Z,-0.002621,-0.039454,1.001361
2025-01-01T00:01:49Z,0.000128,-0.039999,0.999937
2025-01-01T00:01:50Z,0.00315,-0.039348,0.998514
2025-01-01T00:01:51Z,0.006363,-0.037527,0.997121
2025-01-01T00:01:52Z,0.009676,-0.034609,0.995787
2025-01-01T00:01:53Z,0.012998,-0.03071,0.994539
2025-01-01T00:01:54Z,0.016236,-0.025985,0.993402
2025-01-01T00:01:55Z,0.019303,-0.020623,0.992399
2025-01-01T00:01:56Z,0.022111,-0.014837,0.991551
2025-01-01T00:01:57Z,0.024583,-0.008859,0.990876
2025-01-01T00:01:58Z,0.026652,-0.002926,0.990386
2025-01-01T00:01:59Z,0.028259,0.002725,0.990092
2025-01-01T00:02:00Z,-0.243438,-0.254727,0.827759
2025-01-01T00:02:01Z,-0.328141,-0.28577,0.820997
2025-01-01T00:02:02Z,-0.330056,-0.286455,0.842496
2025-01-01T00:02:03Z,-0.248713,-0.256706,0.888861
2025-01-01T00:02:04Z,-0.104028,-0.199798,0.952773
2025-01-01T00:02:05Z,0.068574,-0.121996,1.02414
2025-01-01T00:02:06Z,0.226836,-0.031865,1.091697
2025-01-01T00:02:07Z,0.332009,0.060674,1.144776
2025-01-01T00:02:08Z,0.358343,0.145432,1.174999
2025-01-01T00:02:09Z,0.29939,0.213079,1.177593
2025-01-01T00:02:10Z,0.169584,0.256168,1.152149
2025-01-01T00:02:11Z,0.000707,0.269956,1.102684
2025-01-01T00:02:12Z,-0.165895,0.252925,1.037008
2025-01-01T00:02:13Z,-0.289432,0.206949,0.965489
2025-01-01T00:02:14Z,-0.339658,0.13709,0.899418
2025-01-01T00:02:15Z,-0.304275,0.051039,0.849227
2025-01-01T00:02:16Z,-0.191946,-0.041732,0.82284
2025-01-01T00:02:17Z,-0.030175,-0.13101,0.824422
2025-01-01T00:02:18Z,0.141433,-0.206966,0.853725
2025-01-01T00:02:19Z,0.280862,-0.261239,0.906121
2025-01-01T00:02:20Z,0.353974,-0.287854,0.973338
2025-01-01T00:02:21Z,0.342869,-0.283881,1.044765
2025-01-01T00:02:22Z,0.250266,-0.249758,1.109124
2025-01-01T00:02:23Z,0.098838,-0.18924,1.156255
2025-01-01T00:02:24Z,-0.074341,-0.108991,1.178717
2025-01-01T00:02:25Z,-0.22687,-0.017844,1.172963
2025-01-01T00:02:26Z,-0.321406,0.074166,1.139902
2025-01-01T00:02:27Z,-0.334801,0.156911,1.084754
2025-01-01T00:02:28Z,-0.263778,0.221281,1.016225
2025-01-01T00:02:29Z,-0.125724,0.26019,0.945134
2025-01-01T00:02:30Z,0.04556,0.269356,0.882705
2025-01-01T00:02:31Z,0.208138,0.247768,0.838795
2025-01-01T00:02:32Z,0.322204,0.197803,0.820335
2025-01-01T00:02:33Z,0.359832,0.124962,0.830241
2025-01-01T00:02:34Z,0.311809,0.037264,0.866947
2025-01-01T00:02:35Z,0.189892,-0.055637,0.92466
2025-01-01T00:02:36Z,0.023932,-0.143515,0.994267
2025-01-01T00:02:37Z,-0.145439,-0.216694,1.06478
2025-01-01T00:02:38Z,-0.276754,-0.267119,1.125065
2025-01-01T00:02:39Z,-0.337861,-0.289239,1.165605
2025-01-01T00:02:40Z,-0.3138,-0.280619,1.179999
2025-01-01T00:02:41Z,-0.210461,-0.242207,1.165976
2025-01-01T00:02:42Z,-0.053145,-0.178232,1.125749
2025-01-01T00:02:43Z,0.11963,-0.095738,1.065669
2025-01-01T00:02:44Z,0.265564,-0.003805,0.995221
2025-01-01T00:02:45Z,0.348928,0.087447,0.925527
2025-01-01T00:02:46Z,0.349309,0.16797,0.867592
2025-01-01T00:02:47Z,0.266617,0.228902,0.83056
2025-01-01T00:02:48Z,0.121095,0.263533,0.82028
2025-01-01T00:02:49Z,-0.051626,0.268053,0.838373
2025-01-01T00:02:50Z,-0.20926,0.241963,0.881984
2025-01-01T00:02:51Z,-0.31321,0.188135,0.944226
2025-01-01T00:02:52Z,-0.338028,0.112495,1.015275
2025-01-01T00:02:53Z,-0.277636,0.02337,1.083911
2025-01-01T00:02:54Z,-0.146821,-0.069428,1.1393
2025-01-01T00:02:55Z,0.022389,-0.155684,1.172697
2025-01-01T00:02:56Z,0.188567,-0.225902,1.178828
2025-01-01T00:02:57Z,0.311024,-0.272353,1.156727
2025-01-01T00:02:58Z,0.359781,-0.289922,1.109881
2025-01-01T00:02:59Z,0.322899,-0.276676,1.045688
2025-01-01T00:03:00Z,0.209408,-0.234072,0.974282
2025-01-01T00:03:01Z,0.047096,-0.166801,0.906936
2025-01-01T00:03:02Z,-0.124299,-0.082268,0.854283
2025-01-01T00:03:03Z,-0.262813,0.01022,0.824635
2025-01-01T00:03:04Z,-0.334533,0.100482,0.822674
2025-01-01T00:03:05Z,-0.321899,0.178582,0.848708
2025-01-01T00:03:06Z,-0.228004,0.235922,0.898628
2025-01-01T00:03:07Z,-0.075838,0.266189,0.964553
2025-01-01T00:03:08Z,0.097344,0.266051,1.036074
2025-01-01T00:03:09Z,0.249142,0.235524,1.101899
2025-01-01T00:03:10Z,0.342389,0.177968,1.151637
2025-01-01T00:03:11Z,0.354256,0.09972,1.177435
2025-01-01T00:03:12Z,0.281837,0.009393,1.17522
2025-01-01T00:03:13Z,0.142863,-0.083069,1.145341
2025-01-01T00:03:14Z,-0.028641,-0.167487,1.092516
2025-01-01T00:03:15Z,-0.190684,-0.234568,1.025085
2025-01-01T00:03:16Z,-0.303592,-0.276927,0.953694
2025-01-01T00:03:17Z,-0.339722,-0.289901,0.889613
2025-01-01T00:03:18Z,-0.290228,-0.272062,0.84296
2025-01-01T00:03:19Z,-0.167228,-0.225374,0.8211
2025-01-01T00:03:20Z,-0.000836,-0.154976,0.827485
2025-01-01T00:03:21Z,0.168209,-0.068618,0.861106
2025-01-01T00:03:22Z,0.298519,0.024193,0.916655
2025-01-01T00:03:23Z,0.358189,0.11324,0.985363
2025-01-01T00:03:24Z,0.332611,0.18872,1.056381
2025-01-01T00:03:25Z,0.228046,0.242323,1.118498
2025-01-01T00:03:26Z,0.070096,0.268149,1.161907
2025-01-01T00:03:27Z,-0.102568,0.263355,1.179755
2025-01-01T00:03:28Z,-0.247671,0.228468,1.169223
2025-01-01T00:03:29Z,-0.329687,0.167329,1.131974
2025-01-01T00:03:30Z,-0.328536,0.086669,1.07389
2025-01-01T00:03:31Z,-0.2445,-0.004633,1.00414
2025-01-01T00:03:32Z,-0.098153,-0.096526,0.933736
2025-01-01T00:03:33Z,0.074674,-0.178894,0.873794
2025-01-01T00:03:34Z,0.231666,-0.242669,0.833777
2025-01-01T00:03:35Z,0.334386,-0.28083,0.820003
2025-01-01T00:03:36Z,0.357686,-0.289177,0.834647
2025-01-01T00:03:37Z,0.29586,-0.26679,0.875396
2025-01-01T00:03:38Z,0.164045,-0.216134,0.935817
2025-01-01T00:03:39Z,-0.005485,-0.142786,1.006372
2025-01-01T00:03:40Z,-0.171224,-0.054819,1.07592
2025-01-01T00:03:41Z,-0.292593,0.038081,1.133482
2025-01-01T00:03:42Z,-0.339877,0.125688,1.169971
2025-01-01T00:03:43Z,-0.301498,0.198358,1.179624
2025-01-01T00:03:44Z,-0.186854,0.24809,1.160919
2025-01-01T00:03:45Z,-0.024014,0.269411,1.116809
2025-01-01T00:03:46Z,0.147155,0.259972,1.054257
2025-01-01T00:03:47Z,0.284743,0.220813,0.983138
2025-01-01T00:03:48Z,0.355065,0.156244,0.914682
2025-01-01T00:03:49Z,0.340902,0.073375,0.859696
2025-01-01T00:03:50Z,0.245724,-0.018673,0.826861
2025-01-01T00:03:51Z,0.092831,-0.109766,0.82136
2025-01-01T00:03:52Z,-0.080341,-0.189876,0.844063
2025-01-01T00:03:53Z,-0.231394,-0.250185,0.891385
2025-01-01T00:03:54Z,-0.323346,-0.284052,0.955855
2025-01-01T00:03:55Z,-0.333683,-0.28775,1.027294
2025-01-01T00:03:56Z,-0.259875,-0.260872,1.094424
2025-01-01T00:03:57Z,-0.119991,-0.206376,1.146647
2025-01-01T00:03:58Z,0.051718,-0.130262,1.175717
2025-01-01T00:03:59Z,0.213214,-0.040908,1.177046
